key,pl,de,en,fr (French),sv (Swedish),it (Italian),es (Spanish),da (Danish)
likeSubscribeVideoFaqA,W odtwarzaczu kliknij przycisk “…” a następnie “Zobacz na YouTube”. Stamtąd możesz zalogować się i polubić/subskrybować.,"Im Player den “…”-Button antippen, dann “Auf YouTube ansehen” auswählen. Von dort aus kann man sich anmelden, liken und abonniert.","In the player, tap on the “…”-button and then “View on YouTube”. From there, you can sign in and like/subscribe.",,,,,
likeSubscribeVideoFaqQ,Jak mogę polubić filmy lub subskrybować kanały na YouTube?,Wie kann ich Videos liken oder Kanälen auf YouTube folgen?,How can I like videos or subscribe to channels on YouTube?,,,,,
likeSubscribeVideoFaqT,Polub i subskrybuj na YouTube,Liken & Abonnieren,Like & Subscribe on YouTube,,,,,
loopVideo,Zapętl film,Wiederholen,Loop Video,,,,,
loopVideoEnabled,Zapętlanie filmu włączone,Wiederholen aktiv,Loop Video Enabled,,,,,
macOsFaqA,"Jeśli używasz Maca z procesorem Apple Silicon, możesz już korzystać z wersji na iPad. Daj mi znać, jeśli napotkasz jakieś problemy.  Jeśli chodzi o natywną wersję na macOS: Jestem jednoosobowym zespołem, a ta aplikacja to projekt poboczny, nad którym pracuję w wolnym czasie. Chcę skupić się na platformach, które obecnie wspieram, zanim zacznę eksplorować nowe.","Auf Apple Silicone Macs ist Unwatched bereits als iPad Version verfügbar. Falls es Probleme geben sollte, gib mir bitte Bescheid.  Bezüglich einer nativen macOS Version: Unwatched ist ein Nebenprojekt an dem ich in meiner freien Zeit arbeite. Für den Moment fokussiere ich mich auf die bestehenden Plattformen. Ich werde weitere Plattformen in der Zukunft in Betracht ziehen.","If you’re using an Apple Silicone Mac, you can already use the iPad version. Please let me know, if you’re running into any issues there.  Regarding a native macOS version: I'm a one-person team, and this app is a side project I work on during my free time. I want to focus on the platforms I'm currently supporting before exploring new ones.",,,,,
macOsFaqQ,Czy Unwatched będzie dostępny na macOS?,Wird es eine macOS Version von Unwatched geben?,Will Unwatched be available on macOS?,,,,,
macOsFaqT,Wsparcie dla macOS,macOS Support,macOS Support,,,,,
manualBackup,Ręcznie,Manuell,Manual,,,,,
markUnwatched,Usuń obejrzane,Gesehen entfernen,Remove Watched,,,,,
markWatched,Oznacz jako obejrzane,Gesehen,Mark Watched,,,,,
minimalBackups,Wyklucz nieistotne filmy,Unwichtige Videos ignorieren,Exclude unimportant videos,,,,,
minimalBackupsHelper,"""Nieistotne"" to filmy, które nie zostały obejrzane, nie są w kolejce ani w skrzynce i są starsze niż tydzień. Najlepiej pozostawić to włączone, ponieważ pliki kopii zapasowych będą prawdopodobnie znacznie mniejsze.","""Unwichtig"" sind Videos, die nicht angesehen wurden, nicht in der Warteschlange oder im Posteingang sind und älter als eine Woche sind. Es ist am besten, dies eingeschaltet zu lassen, da die Backup-Dateien wahrscheinlich viel kleiner sein werden.","""Unimportant"" are videos that haven't been watched, are not in the queue or inbox and are older than one week. It is best to leave this on, as the backup files will likely be much smaller.",,,,,
mint,Miętowy,Minze,Mint,,,,,
monitorBackgroundFetches,Śledź pobieranie w tle,Hintergrundaktualisierungen,Monitor Background Fetches,,,,,
moreOptions,Więcej,Mehr,More,,,,,
morePlaylistsFaqA,"Unwatched to po prostu kolejka z odtwarzaczem. Jeśli szukasz bardziej wszechstronnej aplikacji, rozważ użycie [Play: Save Videos Watch Later](https://apps.apple.com/app/id1596506190). Prawdopodobnie zrobi wszystko, czego potrzebujesz, a nawet więcej!",Unwatched ist als einzelne Warteschlange mit einem Player konzipiert. Für eine umfassendere Organisation ist [Play: Save Videos Watch Later](https://apps.apple.com/app/id1596506190) die bessere Wahl. Diese App erfüllt wahrscheinlich alle gewünschten Funktionen und mehr!,"Unwatched is designed as a single queue with a player. For a more comprehensive organizer, consider using [Play: Save Videos Watch Later](https://apps.apple.com/app/id1596506190). It'll most like do everything you want and more!",,,,,
morePlaylistsFaqQ,Czy będzie dostępne wiele playlist lub system tagów?,Wird es mehrere Playlists oder ein Tagging-System geben?,Will there be multiple playlists or a tagging system?,,,,,
morePlaylistsFaqT,Playlisty i tagi,Playlisten & Tags,Playlists & Tags,,,,,
mostRecentVideo,Najnowszy film,Aktuellstes Video,Most Recent Video,,,,,
moveToInbox,Przenieś do skrzynki,Zur Inbox bewegen,Move to Inbox,,,,,
newVideos,Nowe filmy,Neue Videos,New Videos,,,,,
nextChapter,Następny rozdział,Nächstes Kapitel,Next Chapter,,,,,
nextVideo,Następny film,Nächstes Video,Next Video,,,,,
noBookmarkedVideosYet,Brak zapisanych filmów,Keine gespeicherten Videos,No Bookmarked Videos,,,,,
noBookmarkedVideosYetDescription,Zapisane filmy pojawią się tutaj,Gespeicherte videos werden hier angezeigt,Bookmarked videos will show up here,,,,,
noHistoryItems,Brak obejrzanych filmów,Nichts angesehen,Nothing Watched,,,,,
noHistoryItemsDescription,Filmy oznaczone jako obejrzane pojawią się tutaj,Gespeicherte Videos erscheinen hier,Videos marked as watched will appear here,,,,,
noIcloudBackupWarning,iCloud Drive jest niedostępny,iCloud Drive nicht verfügbar,iCloud Drive is unavailable,,,,,
noInboxItems,Skrzynka jest pusta,Inbox leer,Empty Inbox,,,,,
noInboxItemsDescription,"Nowe filmy pojawią się tutaj.
Wybierz to, co ci się podoba, resztę odrzuć.","Neue Videos tauchen hier auf. Nimm was dir gefällt, entferne den Rest.","New videos will show up here.
Grab what you like, discard the rest.",,,,,
noInfoFoundToSubscribeTo,Nie znaleziono informacji do subskrypcji,Keine Information zum abonnieren gefunden,No info found to subscribe,,,,,
noInfoFoundToUnsibscribe,Nie znaleziono informacji do anulowania subskrypcji,Keine Information gefunden um das Abo zu beenden,No info found to unsubscribe,,,,,
noQueueItems,Kolejka jest pusta,Leere Queue,Empty Queue,,,,,
noQueueItemsDescription,Dodaj filmy ręcznie lub dodając subskrypcje.,Füge Videos manuell hinzu oder automatisch durch Abos.,Add videos manually or by adding subscriptions.,,,,,
noSideloadedSubscriptions,Brak filmów z niezasubskrybowanych kanałów,Keine Videos ohne Abo,No Unsubscribed Videos,,,,,
noSideloadedSubscriptionsDetail,"Filmy z kanałów, które nie są zasubskrybowane, pojawią się tutaj",Videos von Kanälen denen du nicht folgst tauchen hier auf,Videos of channels you haven't subscribed to will show up here,,,,,
noVideoFound,Nie znaleziono filmu,Kein Video gefunden,No Video found,,,,,
noVideoInfo,Nie znaleziono informacji o filmie,Keine Video Infos gefunden,No Video info found,,,,,
noVideoUrl,Nie znaleziono URL filmu,Keine Video URL gefunden,No Video URL found,,,,,
noVideosFoundInPlaylist,Playlista nie zawierała żadnych filmów,Playlist enthält keine Videos,Playlist didn't contain any videos,,,,,
noVideosYet,Nie znaleziono filmów,Keine Videos Gefunden,No Videos Found,,,,,
noVideosYetDescription,"Wszystkie dostępne filmy zostaną wyświetlone tutaj, w tym dodane ręcznie i filmy ze wszystkich subskrypcji.","Alle verfügbaren Videos werden hier angezeigt, einschließlich manuell hinzugefügter Videos und Videos aus allen Abos.","All available videos will be shown here, including manually added ones and videos from all subscriptions.",,,,,
noYoutubeIdFound,Nie znaleziono ID filmu YouTube,Keine YouTube Video ID gefunden,No YouTube video ID found,,,,,
noYoutubePlaylistId,Nie znaleziono ID playlisty YouTube,Keine YouTube Playlist ID gefunden,No YouTube playlist ID found,,,,,
notSupported,URL nie jest obsługiwany,URL wird nicht unterstützt,The URL is not supported,,,,,
notifications,Powiadomienia,Benachrichtigungen,Notifications,,,,,
notificationsDisabledHelper,"Powiadomienia dla Unwatched zostały wyłączone. Jeśli chcesz otrzymywać powiadomienia, musisz je najpierw włączyć w Ustawieniach.","Benachrichtigungen sind für Unwatched deaktiviert. Aktiviere sie zuerst in den Einstellungen, falls du sie erhalten möchtest.","Notifications have been disabled for Unwatched. If you wish to receive notifications, you need to enable them in Settings first.",,,,,
notificationsHelper,"Informacje o nowych filmach będą aktualizowane w tle i wywołają powiadomienia, ale nie będzie to natychmiastowe.",Neue Videos werden im Hintergrund lokal geladen und lösen eine Benachrichtigung aus.,New videos will be fetched in the background on device and trigger a notification. This will not be instant.,,,,,
onPlaySettings,Podczas odtwarzania,Beim Abspielen,On Play,,,,,
openInAppBrowser,Zobacz na YouTube,Auf YouTube anzeigen,View on YouTube,,,,,
orange,Pomarańczowy,Orange,Orange,,,,,
overlayStuckFaqA,"Kliknij przycisk ""…"" i wybierz ""Przeładuj odtwarzacz"", aby rozwiązać problem. Możesz też włączyć natywny tryb pełnoekranowy iOS, który można ustawić na automatyczne włączanie w Ustawieniach.

Ten problem występuje, gdy odtwarzacz wykryje ""dotknięcie bez zwolnienia"" (np. przesunięcie palcem do ekranu głównego, gdy palec znajduje się nad filmem). Niestety, to problem po stronie YouTube, którego nie mogę naprawić.","Auf den “…”-Button tippen und „Player neu laden“ wählen sollte das Problem beheben. Alternativ kann der native iOS-Vollbildmodus aktiviert werden, oder in den Einstellungen automatisch eingeschaltet werden.

Dies tritt auf, wenn der Player ein „Touch Down“ ohne „Touch Up“ erkennt (z. B. beim Hochwischen zum Home-Bildschirm, während das Video berührt wird). Leider ist dies ein Problem von YouTube, das ich nicht beheben kann.","Tap the “…”-Button and select “Reload Player” to resolve the issue. You can also enable native iOS fullscreen, which can be set to turn on automatically in Settings.

This issue occurs when the player detects a ""touch down"" without a corresponding ""touch up"" (e.g., swiping up to return to the home screen when the swipe happens over the video). Unfortunately, this is a YouTube issue I cannot resolve.",,,,,
overlayStuckFaqQ,Sterowanie odtwarzacza YouTube jest zablokowane i nie znika.,Das YouTube Overlay (play button etc.) verschwindet nicht mehr von alleine.,YouTube’s player controls are stuck and don’t disappear.,,,,,
overlayStuckFaqT,Nakładka YouTube nie znika,YouTube Overlay immer Sichtbar,YouTube Overlays Stuck,,,,,
paste,Wklej,Einfügen,Paste,,,,,
pause,Pauza,Pause,Pause,,,,,
pictureInPictureFaqA,"Istnieje kilka sposobów na uruchomienie trybu Picture-in-Picture:
- Kliknij przycisk PiP pod filmem
- Przesuń palcem w dół na odtwarzanym filmie
- Włącz natywny tryb pełnoekranowy iOS, klikając przycisk w prawym dolnym rogu wideo. Następnie kliknij przycisk ""PiP"" lub opuść aplikację, aby kontynuować odtwarzanie.","Es gibt mehrere Möglichkeiten um den Bild-in-Bild Modus zu starten:
- Tippe den Pip-button unterhalb des Videos
- Swipe auf dem Video nach unten
- Starte den nativen iOS-Vollbildmodus indem du auf den Vollbild-Button innerhalb des Videos unten rechts tippst. Von dort aus kann der ""Pip""-Button ausgewählt werden.","There are a few ways to start Picture-in-Picture:
- Tap the Pip-button underneath the video
- Swipe down on a playing video
- Start the native iOS fullscreen by tapping the button on the bottom right inside the video. From there, tap the ""Pip"" button or leave the app to keep the video playing.",,,,,
pictureInPictureFaqQ,Jak mogę kontynuować odtwarzanie w tle za pomocą trybu Picture-in-Picture?,Wie kann die Wiedergabe im Hintergrund via. Picture-in-Picture fortgesetzt werden?,How can I continue playing in the background using Picture-in-Picture mode?,,,,,
pictureInPictureFaqT,Picture-in-Picture i odtwarzanie w tle,Bild-in-Bild & Hintergrund Wiedergabe,Picture-in-Picture & Background Play,,,,,
play,Odtwarzaj,Play,Play,,,,,
playPause,Odtwarzaj/Pauza,Play/Pause,Play/Pause,,,,,
playback,Odtwarzanie,Wiedergabe,Playback,,,,,
playerMenu,Odtwarzacz,Player,Player,,,,,
playerShowsWebsiteFaqA,"Domyślnie odtwarzacz korzysta z wbudowanego odtwarzacza YouTube, ale jeśli kanały wyłączą tę opcję, zamiast niego zostanie wyświetlona strona YouTube.

Wszystkie funkcje sterowania pozostają aktywne, a przycisk pełnego ekranu YouTube pozwala oglądać filmy w trybie pełnoekranowym.","Normalerweise wird YouTubes eingebetteten Player verwendet. Wenn Kanäle diese Funktion deaktivieren, wird stattdessen die YouTube-Website angezeigt.  Alle Steuerungen bleiben funktionsfähig. Der Vollbildmodus unterstützt ebenfalls Picture-in-Picture.","The player usually uses YouTube's embedded player, but if channels disable this feature, the YouTube website will be shown instead.   All controls remain functional, and you can use YouTube's fullscreen button to watch the video in fullscreen.",,,,,
playerShowsWebsiteFaqQ,Dlaczego odtwarzacz filmów pokazuje stronę YouTube?,Warum zeigt der Videoplayer die YouTube-Website an?,Why does the video player show the YouTube website?,,,,,
playerShowsWebsiteFaqT,Strona w odtwarzaczu,Webseite im Player,Website in Player,,,,,
pleaseCheckFaq,"Proszę sprawdzić często zadawane pytania (FAQ) i sugestie poniżej, aby zobaczyć, czy Twoje pytanie zostało już omówione.",Möglicherweise ist das Anliegen bereits unten im FAQ/Vorschläge Bereich beantwortet.,Please check the frequently asked questions (FAQ) and suggestions below to see if yours is already addressed.,,,,,
potentiallyFaultyYoutubeId%@,YouTube ID może być błędne: %@,YouTube ID könnte fehlerhaft sein: %@,YouTube ID may be faulty: %@,,,,,
preferYtCaptionsHelper,Wyłącza napisy w odtwarzaczu YouTube bez możliwości ich ponownego włączenia podczas odtwarzania.,"Deaktiviert Untertitel im YouTube-Player ohne Möglichkeit, sie während der Wiedergabe wieder einzuschalten.",Disables video captions in YouTube’s player with no option to re-enable them during playback.,,,,,
previousChapter,Poprzedni rozdział,Vorheriges Chapter,Previous Chapter,,,,,
publishedDate,Data publikacji,Veröffentlichungsdatum,Published Date,,,,,
purple,Fioletowy,Lila,Purple,,,,,
queue,Kolejka,Queue,Queue,,,,,
queueLast,Na koniec kolejki,Queue Ende,Queue Last,,,,,
queueNext,Następny w kolejce,Queue Anfang,Queue Next,,,,,
rateUnwatched,Oceń Unwatched,Unwatched bewerten,Rate Unwatched,,,,,
reallyDeleteVideo,"Naprawdę usunąć film?

Tej operacji nie można cofnąć. Jeśli film nadal istnieje, należy do aktywnej subskrypcji i jest jednym z 15 najnowszych filmów, może pojawić się ponownie po następnym odświeżeniu.","Video wirklich löschen?

Dies kann nicht rückgängig gemacht werden. Wenn das Video noch existiert, zu einem aktiven Abo gehört und eines der 15 neuesten Videos ist, kann es nach der nächsten Aktualisierung wieder erscheinen.","Really delete Video?

This cannot be undone. If the video still exists, belongs to an active subscription, and is one of the 15 most recent videos, it may reappear after the next refresh.",,,,,
recentlyAdded,Ostatnio dodane,Zuletzt hinzugefügt,Recently Added,,,,,
red,Czerwony,Rot,Red,,,,,
refresh,Odśwież,Neu laden,Refresh,,,,,
reloadVideo,Przeładuj odtwarzacz,Player neu laden,Reload Player,,,,,
removeBookmark,Usuń zakładkę,Markierung entfernen,Remove Bookmark,,,,,
removeDeferDate,Usuń datę odroczenia,Aufschubdatum entfernen,Remove Defer Date,,,,,
removeDuplicates,Wyczyść duplikaty i modele,Duplikate & Leere Objekte löschen,Cleanup Duplicates & Models,,,,,
"removedDuplicates
%lld
%lld
%lld
%lld
%lld","Filmy: %1$lld
Wpisy w kolejce: %2$lld
Wpisy w skrzynce: %3$lld
Rozdziały: %4$lld
Subskrypcje: %5$lld","Videos: %1$lld
Queue: %2$lld  Inbox: %3$lld
Kapitel: %4$lld Abos: %5$lld","Videos: %1$lld
Queue Entries: %2$lld  Inbox Entries: %3$lld Chapters: %4$lld Subscriptions: %5$lld",,,,,
requireClearConfirmation,Wymagaj potwierdzenia wyczyszczenia,Bestätigung zum Leeren erforderlich,Require Clear Confirmation,,,,,
restartNow,Uruchom ponownie teraz,Jetzt neu starten,Restart Now,,,,,
restartNow?,Wymagane ponowne uruchomienie,Neustart notwendig,Restart Required,,,,,
restartVideo,Odtwórz ponownie,Neu starten,Restart,,,,,
restoreBackup,Przywróć kopię zapasową,Backup wiederherstellen,Restore Backup,,,,,
restoreSettingsFromBackup,Przywróć tylko ustawienia,Nur Einstellungen wiederherstellen,Restore Settings Only,,,,,
restoreThisBackup?,Przywrócić tę kopię zapasową?,Aus diesem Backup wiederherstellen?,Restore This Backup?,,,,,
restoreThisBackupMessage,"Wszystkie Twoje obecne dane zostaną usunięte, a wybrana kopia zapasowa zostanie przywrócona.",Alle deine aktuellen Daten werden gelöscht und das ausgewählte Backup wird wiederhergestellt.,All your current data will be deleted and the selected backup will be restored.,,,,,
returnToQueue,Wróć do kolejki,Queue anzeigen,Return to Queue,,,,,
rotateOnPlay,Włącz tryb pełnego ekranu,Querformat-Vollbildmodus starten,Enter Horizontal Fullscreen,,,,,
searchLibrary,Szukaj,Durchsuchen,Search,,,,,
seekBackward,Przewiń do tylu,Zurück springen,Seek Backward,,,,,
seekForward,Przewiń do przodu,Vorwärts springen,Seek Forward,,,,,
selectAll,Zaznacz wszystkie,Alles auswählen,Select All,,,,,
selectDate,Wybierz datę,Datum auswählen,Select Date,,,,,
selectFile,Wybierz plik,Datei auswählen,Select File,,,,,
sendFeedback,Opinie i pomoc,Feedback & Hilfe,Feedback & Help,,,,,
settings,Ustawienia,Einstellungen,Settings,,,,,
setupShareSheetAction,Skonfiguruj Skrót udostępniania,Share Sheet Setup,Setup Share Sheet,,,,,
shareSheet,Skrót udostępniania,Teilen-Menü,Share Sheet,,,,,
shareVideo,Udostępnij film,Video teilen,Share Video,,,,,
sheetOpacity,Półprzezroczysty pasek nawigacji,Transparente Navigationsleiste,Translucent Navigationbar,,,,,
shortsSetting,#Shorts,#Shorts,#Shorts,,,,,
shortsSettingsFooter,"Domyślne zachowanie dla YouTube #shorts; można je nadpisać dla poszczególnych kanałów. Dotyczy to nowych filmów i list – nie dotyczy obecnej kolejki, obecnej skrzynki ani historii oglądania.","Standardverhalten für YouTube-#Shorts; kann für einzelne Kanäle überschrieben werden. Betrifft neue Videos und Listen – es hat keinen Einfluss auf die aktuelle Queue, die aktuelle Inbox oder den Wiedergabeverlauf.","Default behavior for YouTube #shorts; can be overwritten for individual channels. This affects new videos and lists – it does not affect the current Queue, current Inbox, or watch history.",,,,,
showAddToQueueButton,Pokaż przycisk “Następny w kolejce” na filmach w skrzynce,“Video-Hinzufügen” Button bei Inbox Einträgen anzeigen,Show “Queue Next”-Button on Inbox Entries,,,,,
showClearQueueButton,"Pokaż przycisk ""Wyczyść""","""Leeren"" Button anzeigen",Show Clear Button,,,,,
showMenu,Menu,Menü,Menu,,,,,
showNotificationBadge,Ikona aplikacji z liczbą nowych filmów,App Icon Kennzeichen für neue Videos,App Icon Badge for new Videos,,,,,
showShorts,Pokaż,Anzeigen,Show,,,,,
showTabBarBadge,Znacznik na pasku nawigacji dla nowych filmów,Tab Bar Kennzeichen bei neuen Videos,Tab Bar Badge for new Videos,,,,,
showTabBarLabels,Pokaż etykiety na pasku nawigacji,Tab Bar Label anzeigen,Show Tab Bar Labels,,,,,
showTutorial,Pokaż samouczek,Tutorial anzeigen,Show Tutorial,,,,,
showVideoListOrder,Pokaż pozycję w kolejce,Queue Position anzeigen,Show Queue Order,,,,,
sideloads,Niezasubskrybowane,Ohne Abo,Unsubscribed,,,,,
skip,Pomiń,Überspringen,Skip,,,,,
skipChapterText,"Słowo kluczowe 1, słowo kluczowe 2, …","Schlagwort 1,Schlagwort 2,…","Keyword 1,Keyword 2,…",,,,,
skipSponsorSegments,Automatycznie pomijaj segmenty sponsorowane,Sponsor-Abschnitte überspringen,Auto-Skip Sponsor Segments,,,,,
skipSponsorSegmentsHelper,"Wymaga rozdziałów SponsorBlock. Upewnij się, że jesteś zalogowany na swoje konto YouTube Premium i historia oglądania jest włączona.",Erfordert SponsorBlock Kapitel. Stelle sicher dass der YouTube Premium Account angemeldet ist und der YouTube Verlauf angeschaltet ist.,Requires SponsorBlock chapters. Make sure you’re signed into your YouTube Premium account and watch history is turned on.,,,,,
sleepTimer,Timer usypiania,Sleep Timer,Sleep Timer,,,,,
sleepTimer%@,Timer usypiania %@,Sleep Timer %@,Sleep Timer %@,,,,,
sleepTimerOff,Wyłączony,Timer stoppen,Off,,,,,
speedSetting,Prędkość,Geschwindigkeit,Speed,,,,,
sponsorBlockChapters,Uwzględnij rozdziały z SponsorBlock,SponsorBlock Kapitel einbeziehen,Include SponsorBlock Chapters,,,,,
sponsorBlockSettings,SponsorBlock,SponsorBlock,SponsorBlock,,,,,
sponsorBlockSettingsHelper,"Rozdziały SponsorBlock zostaną wyświetlone jeśli są dostępne. Gdy film ma już rozdziały, tylko segmenty sponsorowane zostaną dodane. Jeśli film nie ma rozdziałów, wszystkie dostępne segmenty (jak wstęp, zakończenie itp.) zostaną utworzone jako rozdziały z pustymi miejscami pomiędzy.","Falls verfügbar, werden SponsorBlock-Kapitel angezeigt. Wenn ein Video bereits Kapitel enthält, werden nur die Sponsoren-Segmente zusammengeführt. Hat ein Video keine Kapitel, werden alle verfügbaren Segmente (wie Intro, Outro, etc.) als Kapitel erstellt, mit leeren Kapiteln dazwischen.","If available, SponsorBlock chapters will be shown. When a video already has chapters, only sponsor segments will be merged. If a video has no chapters, all available segments (like intro, outro, etc.) will be created as chapters, with empty chapters in between.",,,,,
startVideosInFullscreen,Wymuś natywny pełny ekran odtwarzacza,iOS Vollbildmodus erzwingen,Force Native Fullscreen Player,,,,,
subscribe,Subskrybuj,Abonnieren,Subscribe,,,,,
subscribed,Zasubskrybowane,Abonniert,Subscribed,,,,,
subscriptionInfoNotFound,Nie znaleziono informacji o subskrypcji,Abo Information nicht gefunden,Subscription information not found,,,,,
subscriptionTitle,Alfabetycznie,Abo Name,Subscription Title,,,,,
subscriptions,Subskrypcje,Abos,Subscriptions,,,,,
success,Sukces,Erfolgreich,Success,,,,,
swipeUpToSelect,Przesuń w górę,Swipe nach oben,Swipe up,,,,,
syncNotWorkingFaqA,"Włącz synchronizację iCloud w ""Ustawienia → Dane Użytkownika"". Ta funkcja jest nadal eksperymentalna.  Jeśli napotkasz problemy, możesz spróbować kroków rozwiązywania problemów tutaj: [Rozwiązywanie problemów z synchronizacją iCloud w Unwatched](https://github.com/fer0n/Unwatched/wiki/Unwatched-iCloud-Sync-Troubleshooting)","Unter ""Einstellungen → Benutzerdaten"" kann iCloud-Synchronisierung aktiviert werden. Diese Funktion ist experimentell.  Falls es Probleme gibt, findet sich hier eine Schritt-für-Schritt Anleitung zur Fehlerbehebung: [Unwatched iCloud Sync Trouble Shooting](https://github.com/fer0n/Unwatched/wiki/Unwatched-iCloud-Sync-Troubleshooting)","Enable iCloud sync in ""Settings → User Data."" This feature is still experimental.  If you’re running into issues, you can try the troubleshooting steps here: [Unwatched iCloud Sync Trouble Shooting](https://github.com/fer0n/Unwatched/wiki/Unwatched-iCloud-Sync-Troubleshooting)",,,,,
syncNotWorkingFaqQ,Jak mogę synchronizować dane między urządzeniami? Synchronizacja nie działa.,Wie funktioniert die Synchronisierung über Geräte hinweg? Es klappt nicht.,How can I sync across devices? It’s not working.,,,,,
syncNotWorkingFaqT,Synchronizacja iCloud,iCloud Sync,iCloud Sync,,,,,
syncToIcloud,Synchronizuj przez iCloud,Mit iCloud synchronisieren,Sync via iCloud,,,,,
syncing,Synchronizacja,Synchronisiert,Syncing,,,,,
teal,Turkusowy,Blaugrün,Teal,,,,,
textContainsPlaylist,Wykryto URL playlisty,Playlist-URL Entdeckt,Playlist URL detected,,,,,
textContainsPlaylistMessage %lld,"Jak powinna być obsługiwana playlista?
Dodanie playlisty do kolejki/skrzynki jest ograniczone do %lld filmów.","Wie soll mit der Playlist umgegangen werden?
Beim hinzufügen zur Queue/Inbox besteht ein limit von %lld Videos.","How should the playlist be handled?
Adding the playlist to the Queue/Inbox is limited to %lld videos.",,,,,
tipChapters,Wybierz rozdziały,Kapitel vorab auswählen,Pre-select Chapters,,,,,
tipChaptersMessage,"W filmach z rozdziałami możesz wcześniej odznaczyć rozdziały, które chcesz pominąć. Dotyczy to również filmów w kolejce, które nie są aktualnie odtwarzane.","Für Videos mit Kapiteln kannst du im Voraus die Kapitel abwählen, die du überspringen möchtest. Das ist nicht auf das aktuelle Video oder die Warteschlange beschränkt.","For videos that provide chapters, you can untick chapters you want to skip in advance. This is also possible for videos that are queued up and not currently playing.",,,,,
tipPlaybackSpeed,Dostosuj prędkość,Benutzerdefinierte Geschwindigkeit,Custom Speed,,,,,
tipPlaybackSpeedMessage,"Kliknij ikonę “kłódki” w odtwarzaczu, aby zastosować wybraną prędkość odtwarzania tylko na tym kanale.","Tippe auf das „Schloss“-Symbol im Player, um die ausgewählte Wiedergabegeschwindigkeit auf den aktuellen Kanal zu beschränken.",Tap the “lock” icon inside the player to restrict the selected playback speed to the current channel.,,,,,
tipSwipeActions,Akcje gestów,Swipe Gesten,Swipe Actions,,,,,
tipSwipeActionsMessage,"**Odtwarzacz obsługuje gesty:**
• Przesuń w lewo/prawo: Przełącz rozdział
• Kliknij na środku: Odtwórz/Wstrzymaj
• Przesuń w górę/dół: Wejdź/wyjdź z pełnego ekranu
• Przytrzymaj w prawo/lewo: Przyspiesz/zwolnij odtwarzanie
• Przesuń w dół w pionie: Wejdź w PiP","**Unterstützte Video Gesten:**
• Links/rechts swipen: Kapitel wechseln
• Mitte antippen: Play/pause
• Hoch/runter swipen: Vollbild an/aus
• Rechts/links lange halten: Schneller/langsamer abspielen
• Mini-player swipe nach unten: PiP","**Supported video gestures:**
• Swipe left/right: Jump chapters
• Tap center: Play/pause
• Swipe up/down: Enter/exit fullscreen
• Long press right/left: Speed up/slow down playback
• Swipe down in portrait: Enter PiP",,,,,
tipTitleLongPress,Zobacz na YouTube,Auf YouTube ansehen,View on YouTube,,,,,
tipTitleLongPressMessage,Możesz wybrać “Zobacz na YouTube” z menu “…” w odtwarzaczu lub przytrzymać tytuł filmu/aktualny rozdział.,Aus dem “…”-Button Menü im Player kann “Auf YouTube ansehen” ausgewählt werden. Das gleiche ist durch tippen und halten auf den Video Titel/das aktuelle Kapitel möglich.,"You can select “View on YouTube” from the “…”-menu inside the player, or you can long press the video title/current chapter.",,,,,
toggleFullscreen,Przełącz pełny ekran,Vollbild Umschalten,Toggle Fullscreen,,,,,
toggleTemporarySpeed,Tymczasowa prędkość odtwarzania,Vorübergehende Abspielgeschwindigkeit,Temporary Playback Speed,,,,,
tomorrow,Jutro,Morgen,Tomorrow,,,,,
tutorialHelper,"Szukaj na YouTube, aby dodać
swoje ulubione kanały do Unwatched","Durchsuche YouTube, um deine 
Lieblingskanäle zu Unwatched hinzuzufügen","Search YouTube to quickly add your
favorite channels to Unwatched",,,,,
tvOsFaqA,"Tak, ale nie obsługuje niestandardowego odtwarzacza i zamiast tego otwiera aplikację YouTube. Niestandardowy odtwarzacz jest niestety niedostępny z powodów technicznych i prawnych.  Możesz również użyć AirPlay do przesyłania z Unwatched na Apple TV. Uruchom tryb pełnoekranowy (prawy dolny róg, nie na macOS), a następnie wybierz AirPlay.","Ja, aber Unwatched unterstützt keinen eigenen Player auf tvOS und öffnet stattdessen die YouTube App. Ein eigener Player ist leider aufgrund von technischen & rechtlichen Einschränkungen nicht möglich.  Alternativ kann AirPlay verwendet werden. Dazu muss im Player unten rechts der native iOS Vollbild-Modus gestartet werden. Von dort kann AirPlay ausgewählt werden.","Yes, but it doesn't support a custom player and opens the YouTube app instead. A custom player is sadly not possible due to technical & legal restrictions.  You can also use AirPlay to cast from Unwatched to Apple TV. Enter fullscreen by tapping the fullscreen button on the video player (bottom right, not on macOS), then choose AirPlay.",,,,,
tvOsFaqQ,Czy Unwatched jest dostępny na tvOS?,Gibt es eine tvOS Version von Unwatched?,Is Unwatched available on tvOS?,,,,,
tvOsFaqT,Wsparcie dla tvOS,tvOS Support,tvOS Support,,,,,
undo,Cofnij,Rückgängig machen,Undo,,,,,
unsubscribe,Anuluj subskrypcję,Abo beenden,Unsubscribe,,,,,
unwatchedLogo,Logo Unwatched,Unwatched Logo,Unwatched Logo,,,,,
unwatchedOnBluesky,Bluesky,Bluesky,Bluesky,,,,,
unwatchedOnGithub,GitHub,GitHub,GitHub,,,,,
unwatchedOnMastodon,Mastodon,Mastodon,Mastodon,,,,,
useDefault,Użyj domyślnych,Standard,Use Default,,,,,
userData,Dane użytkownika,Nutzer Daten,User Data,,,,,
